target,softmax prob,classification error %,average overlap,overlap variance
0,[0.98123413 0.01876583],0.0,0.00013100273050674056,0.00011247908176358431
0,[0.99371696 0.00628299],0.0,0.00017342503945234038,0.0004151450074435185
0,[0.36166674 0.63833326],0.7066666666666667,0.5899086139985701,0.19418009270539105
0,[0.99307185 0.0069281 ],0.0,0.00026533694801626523,0.00045176449138337746
0,[0.90985405 0.09014589],0.056666666666666664,0.1328031818270538,0.14646492562565552
0,[0.50361663 0.49638343],0.25222222222222224,0.4915598338217833,0.23857738697755904
0,[0.98422724 0.01577273],0.0,0.00036523732812913034,0.0007612530436256451
0,[0.8886352  0.11136484],0.017777777777777778,0.07307042417950924,0.046275756887629624
0,[0.90415955 0.09584039],0.0044444444444444444,0.02018952530328632,0.015032802173076575
0,[0.99802667 0.00197331],0.0,3.664810093748407e-06,6.049185419380844e-06
0,[0.97003293 0.02996704],0.0,0.000373666055218899,0.0006834789760273937
0,[0.9497144  0.05028564],0.0,0.0016094717426312557,0.0016906793040582949
0,[0.9877787  0.01222133],0.0,0.00038632984723643447,0.0008663432386591115
0,[0.8029855 0.1970145],0.06444444444444444,0.1806527241541779,0.11888959659701699
0,[0.9861757  0.01382426],0.0,0.00010649398819143127,0.00023218179253139276
0,[0.99875295 0.00124709],0.0,1.7530947573624255e-05,3.0995897911477224e-05
0,[0.8780409 0.1219591],0.011111111111111112,0.03576298698923303,0.027515533632656634
0,[0.98838437 0.01161564],0.0,1.4803396717713e-05,1.06930855740567e-05
0,[0.97181964 0.02818037],0.0,0.0008528048866372506,0.0009424518271830334
0,[0.9945898  0.00541016],0.0,8.723412612379069e-06,1.4851780052457829e-05
0,[0.99354386 0.00645617],0.0,1.2631636717310098e-05,1.895916503721818e-05
0,[0.9717784  0.02822158],0.0011111111111111111,0.010870710830775891,0.02980449045384622
0,[0.6178206 0.3821794],0.37555555555555553,0.6539595856922209,0.226800874228889
0,[0.9918401  0.00815988],0.0,0.00014766301812838836,0.00034863598519065516
0,[0.98695403 0.01304595],0.0,6.367714658193506e-05,0.0001266410607013396
0,[0.77589256 0.22410749],0.08,0.2165610360931386,0.17142046720612272
0,[0.04864368 0.9513563 ],0.9255555555555556,0.17802115917393835,0.12475306156900107
0,[0.98541    0.01459002],0.0,6.344492095175623e-05,0.0001350056848090192
0,[0.9956809  0.00431902],0.0,3.2570904634681416e-05,4.16660184496864e-05
0,[0.9913016  0.00869844],0.0,1.2019763264846816e-05,8.683404306010847e-06
0,[0.86831105 0.13168898],0.19333333333333333,0.4285027979922178,0.3465946993499603
0,[0.59375554 0.4062445 ],0.28888888888888886,0.5416523520036373,0.3359751600214946
0,[0.9812893  0.01871069],0.0,7.757486972221992e-05,0.00010238241157871338
0,[0.8306287  0.16937134],0.005555555555555556,0.04262816309048241,0.07588551025350511
0,[0.9851067  0.01489334],0.0,0.00010577389654118895,0.0002465909726512835
0,[0.96739525 0.03260474],0.0,0.00013040617782121772,0.0001542925631606084
0,[0.989358   0.01064197],0.0,2.6159868883336968e-05,3.3403725975736685e-05
0,[0.7484926  0.25150743],0.24555555555555555,0.3658272721932141,0.1555556461883132
0,[0.99567753 0.00432252],0.0,4.306630536623728e-06,1.739559723434199e-06
