target,softmax prob,classification error %,predictive entropy,average entropy,mutual information
0,[0.98123425 0.01876572],0.0,0.1918267830412884,0.16943890921847524,0.022387873822813154
0,[0.99371696 0.00628298],0.0,0.1253038829386383,0.10464602559651688,0.02065785734212143
0,[0.36166698 0.6383331 ],0.7266666666666667,0.4375488012793603,0.39723335919036684,0.04031544208899346
0,[0.993072   0.00692808],0.0,0.14577094702745882,0.1254063093561428,0.02036463767131602
0,[0.90985495 0.09014508],0.06555555555555556,0.46723107201345887,0.37927106117762793,0.08796001083583094
0,[0.503621   0.49637902],0.2544444444444444,0.5301085741038424,0.47676488726837596,0.05334368683546642
0,[0.98422736 0.01577267],0.0,0.1926476347360252,0.16278867332599647,0.029858961410028723
0,[0.8886355  0.11136449],0.015555555555555555,0.4695094981720893,0.42571807173084497,0.04379142644124434
0,[0.90415967 0.09584032],0.0044444444444444444,0.3264353465993161,0.271957348190084,0.05447799840923212
0,[0.99802667 0.00197331],0.0,0.05036949948831267,0.04171704157448909,0.008652457913823582
0,[0.97003317 0.02996685],0.0,0.2385477834551612,0.2190040404742447,0.01954374298091649
0,[0.9497147  0.05028521],0.0,0.31469095234153394,0.29031542127812093,0.024375531063413003
0,[0.9877787  0.01222123],0.0,0.13277382039187627,0.11800190804179926,0.014771912350077007
0,[0.8029882  0.19701183],0.06,0.5106734596647772,0.46513610834763625,0.04553735131714093
0,[0.9861757  0.01382425],0.0,0.13785891742126236,0.12155193092524665,0.01630698649601571
0,[0.99875295 0.00124709],0.0,0.05994805173028544,0.046097079603289584,0.013850972126995854
0,[0.8780411  0.12195889],0.005555555555555556,0.42761319155636496,0.39087774032773176,0.0367354512286332
0,[0.98838437 0.01161564],0.0,0.13027773943966323,0.11315021296746536,0.017127526472197868
0,[0.9718198  0.02818019],0.0011111111111111111,0.26488593753455786,0.24077467931202692,0.024111258222530935
0,[0.9945898  0.00541015],0.0,0.08720574329926717,0.07278571282731332,0.014420030471953851
0,[0.99354386 0.00645616],0.0,0.08263656197572246,0.06697997624406501,0.015656585731657444
0,[0.9717784  0.02822156],0.0011111111111111111,0.28783689330521156,0.2432900330700523,0.044546860235159275
0,[0.61782545 0.38217458],0.3377777777777778,0.5220655904579296,0.48543023313209854,0.03663535732583101
0,[0.9918401  0.00815985],0.0,0.11748272466559148,0.09965626070028717,0.01782646396530431
0,[0.98695403 0.0130459 ],0.0,0.13731266827537505,0.12028282794886727,0.017029840326507784
0,[0.77589303 0.22410694],0.06888888888888889,0.509160528285137,0.4561190579628992,0.05304147032223783
0,[0.04864409 0.9513559 ],0.9044444444444445,0.24049228379931017,0.1965796740827016,0.04391260971660857
0,[0.98541    0.01459001],0.0,0.13054689228826352,0.11478365044078193,0.015763241847481596
0,[0.9956809 0.004319 ],0.0,0.07999699374811144,0.06801684889720121,0.01198014485091023
0,[0.9913016 0.0086984],0.0,0.12421585619578612,0.1064486617515354,0.01776719444425072
0,[0.8683128 0.1316873],0.17666666666666667,0.5283885756125635,0.4690619133232189,0.05932666228934458
0,[0.5937584 0.4062416],0.29777777777777775,0.5303482749234825,0.45366680033990914,0.07668147458357333
0,[0.98128945 0.01871053],0.0,0.15313000941546867,0.13678759449337521,0.016342414922093457
0,[0.830629   0.16937096],0.0033333333333333335,0.4430017691989419,0.4074631882333257,0.035538580965616184
0,[0.9851067 0.0148933],0.0,0.13572822435972304,0.12046296902673038,0.015265255332992653
0,[0.9673953  0.03260461],0.0,0.2035415317896281,0.18423263111846477,0.019308900671163337
0,[0.98935807 0.01064192],0.0,0.11984253086482712,0.09736802078164182,0.022474510083185295
0,[0.74849343 0.25150654],0.2477777777777778,0.530343502404921,0.4781752739924391,0.05216822841248192
0,[0.99567753 0.0043225 ],0.0,0.10745261047594705,0.09267473247766825,0.014777877998278802
0,[0.9926843  0.00731571],0.0,0.12861934298414018,0.10420220286813404,0.02441714011600614
0,[0.98578286 0.01421718],0.0,0.13047067172718424,0.11633335386095965,0.014137317866224589
0,[0.97416127 0.02583873],0.0,0.18535705368980582,0.16692762929949218,0.018429424390313642
0,[0.9899643  0.01003571],0.0,0.10597525800720417,0.09285721681914937,0.013118041188054805
0,[0.95138013 0.04861982],0.0,0.3211952287080086,0.2941469152675366,0.027048313440471983
0,[0.98653144 0.01346854],0.0,0.13893821604458328,0.12134934611144593,0.017588869933137352
0,[0.88498807 0.11501198],0.0022222222222222222,0.4319481002626875,0.39892063798231914,0.03302746228036835
0,[0.7950316  0.20496844],0.07222222222222222,0.5256300598840494,0.4971038995247134,0.028526160359336028
0,[0.9950978  0.00490222],0.0,0.06761304438189102,0.05737129479144421,0.010241749590446804
0,[0.95671237 0.04328761],0.0,0.2804198620149453,0.257747797610497,0.0226720644044483
1,[0.00322845 0.9967715 ],0.0,0.06648544550596684,0.05794123454748788,0.00854421095847896
1,[0.00592706 0.994073  ],0.0,0.09454410865013722,0.08294542669329855,0.011598681956838677
1,[0.02275575 0.97724426],0.0,0.18841002521442832,0.16942597827291347,0.018984046941514843
1,[0.00334828 0.9966517 ],0.0011111111111111111,0.149838981655305,0.11369662334708787,0.03614235830821712
1,[0.01222373 0.9877763 ],0.0,0.08914591183039755,0.07804664061937527,0.011099271211022277
1,[0.0035148  0.99648523],0.0,0.07048944346865581,0.056250043150228454,0.014239400318427353
1,[0.00448169 0.9955183 ],0.0,0.05778859994484714,0.051548333070820435,0.0062402668740267064
1,[0.11558724 0.88441277],0.008888888888888889,0.4066690583429667,0.3710951779382609,0.03557388040470577
1,[0.00548337 0.9945167 ],0.0,0.0766617771955917,0.06676638991506692,0.009895387280524776
1,[0.05935962 0.94064033],0.0,0.2262911603696155,0.19929762340344337,0.026993536966172127
1,[0.10438438 0.8956156 ],0.025555555555555557,0.32665507593362475,0.24206536611108959,0.08458970982253516
1,[0.666277 0.333723],0.9177777777777778,0.34370580140329665,0.3215317987557471,0.02217400264754954
1,[0.12259308 0.87740695],0.021111111111111112,0.3372030083871857,0.24434301834779118,0.09285999003939452
