target,softmax prob,classification error %,average overlap,overlap variance
0,[0.99 0.01],0.0,3.585777352662053e-05,7.076799720162151e-05
0,[0.9794 0.0206],0.0011111111111111111,0.0031683203417468644,0.005151689780441444
0,[0.2404 0.7596],0.77,0.38339081875360165,0.3112188959343189
0,[0.9974 0.0026],0.0,1.3439532847460445e-05,3.181145340472653e-05
0,[0.9041 0.0959],0.0033333333333333335,0.019532567838292363,0.018684342281206898
0,[0.8834 0.1166],0.15666666666666668,0.3582746331252459,0.28185496037257113
0,[0.9918 0.0082],0.0,7.950285349732153e-06,3.3598822343132183e-06
0,[0.8566 0.1434],0.0044444444444444444,0.017741489972922114,0.02179624276046223
0,[0.6687 0.3313],0.07666666666666666,0.18731514428627977,0.15693098350837043
0,[0.9986 0.0014],0.0,1.440111529195832e-06,5.253652735682364e-07
0,[0.9696 0.0304],0.0,0.0009934161409920503,0.002296395365572641
0,[0.9782 0.0218],0.0,0.0004676448508351717,0.0006104772832022483
0,[0.9868 0.0132],0.0,0.00023645237321889975,0.00048751219534186156
0,[0.924 0.076],0.005555555555555556,0.0158724892918052,0.017362896929104372
0,[0.9896 0.0104],0.0,0.0001561142189229024,0.00027001988886184104
0,[9.9949e-01 5.0869e-04],0.0,4.141136473578179e-06,5.836072265509927e-06
0,[0.8827 0.1173],0.0,0.010025277369656995,0.00655928150317008
0,[0.9857 0.0143],0.0,2.6443764836396955e-05,3.089498968451207e-05
0,[0.9803 0.0197],0.0,0.00032440282826746005,0.0004898988066622376
0,[0.9936 0.0064],0.0,7.272189822442632e-06,8.081491576992627e-06
0,[0.9962 0.0038],0.0,4.941345217674834e-05,8.917362288668878e-05
0,[0.9685 0.0315],0.0022222222222222222,0.005660405258492145,0.008635126542339949
0,[0.8323 0.1677],0.22444444444444445,0.40978742665830475,0.31718287898899244
0,[0.9908 0.0092],0.0,0.00025307970408799995,0.0006099555393170437
0,[0.985 0.015],0.0,0.00018425114573547265,0.00045086949918132525
0,[0.8573 0.1427],0.0033333333333333335,0.025111544155571406,0.023015564997250236
0,[0.0073 0.9927],0.9977777777777778,0.007451889114644408,0.013371137272203272
0,[0.9808 0.0192],0.0,0.0005637594472895259,0.000977492346490183
0,[0.9977 0.0023],0.0,5.390485566638486e-06,4.730736009819346e-06
0,[0.9961 0.0039],0.0,2.0401586872535957e-05,3.5206653893495965e-05
0,[0.7162 0.2838],0.05333333333333334,0.17052937447510644,0.13952813755813603
0,[0.7485 0.2515],0.14666666666666667,0.33576162058152415,0.13493130239070592
0,[0.9882 0.0118],0.0,0.0001265605441180996,0.0001635558032205468
0,[0.8825 0.1175],0.0,0.005254957594465443,0.0049155515940098645
0,[0.9853 0.0147],0.0,2.5374291003579464e-05,2.1967429910836123e-05
0,[0.9695 0.0305],0.0,0.00018657668342961676,0.00027047929723221064
0,[0.9986 0.0014],0.0,0.00015605780355605305,0.00021025668431062723
0,[0.884 0.116],0.016666666666666666,0.08468423482394602,0.07767441333576641
0,[0.9981 0.0019],0.0,1.4835935039599006e-05,2.3343409923227473e-05
0,[0.9945 0.0055],0.0,0.00030012961384178025,0.0007075838818320783
0,[0.9908 0.0092],0.0,4.383026925739582e-05,4.976744297038016e-05
0,[0.9879 0.0121],0.0,0.0002561931183727797,0.0006559740134476524
0,[0.9939 0.0061],0.0,9.26862663929296e-06,1.274450761204347e-05
0,[0.9459 0.0541],0.0,0.0001782796183308049,0.0001576555025295008
0,[0.9907 0.0093],0.0,9.127776627064104e-05,0.00012059999815274382
0,[0.9293 0.0707],0.035555555555555556,0.11133689111935165,0.09224976165074415
0,[0.8611 0.1389],0.06555555555555556,0.18637564101998286,0.2510216857375034
0,[0.9966 0.0034],0.0,1.6598908258093368e-05,3.269006689076925e-05
0,[0.9402 0.0598],0.0,0.0016423590034295565,0.002014824019004978
1,[0.0058 0.9942],0.0,6.820570267135695e-05,0.00018930624707333763
1,[0.0157 0.9843],0.014444444444444444,0.04331366913637793,0.12249214306865826
1,[0.0558 0.9442],0.0,0.0017131422654799145,0.0030525723550809234
