target,softmax prob,average overlap,overlap variance
0,[0.99 0.01],1.4043609864783471e-05,1.2540780543078051e-05
0,[0.9794 0.0206],0.008034604534917866,0.019110946052865632
0,[0.2404 0.7596],0.36365253747238524,0.25431894816532635
0,[0.9974 0.0026],8.603886721519811e-06,1.2069624671578237e-05
0,[0.9041 0.0959],0.015806598373229366,0.012158085985157269
0,[0.8834 0.1166],0.36978797844525974,0.2927792576172894
0,[0.9918 0.0082],5.679565568412558e-05,0.0001167051211900374
0,[0.8566 0.1434],0.019027965837937838,0.023925651400892887
0,[0.6687 0.3313],0.21361580037902453,0.19692935008939336
0,[0.9986 0.0014],2.10095855804162e-06,2.4877612690218544e-06
0,[0.9696 0.0304],0.000713216730110517,0.0006821611095811285
0,[0.9782 0.0218],0.00022892434943608457,0.00040575884682488917
0,[0.9868 0.0132],0.000982979886816304,0.0018807297771691878
0,[0.924 0.076],0.009870520216805725,0.013296201695299818
0,[0.9896 0.0104],2.3189031982475842e-05,2.4719742962995683e-05
0,[9.9949e-01 5.0869e-04],5.005110825655689e-05,0.0001353115496304824
0,[0.8827 0.1173],0.009116936858437218,0.007906803826629862
0,[0.9857 0.0143],4.387950245197352e-05,6.33780358616024e-05
0,[0.9803 0.0197],0.00035221120992067964,0.00040704712294927365
0,[0.9936 0.0064],6.0709936900355e-06,8.32256242657446e-06
0,[0.9962 0.0038],0.00013717569980080743,0.00037624164517640956
0,[0.9685 0.0315],0.004483012003058569,0.005135968293843089
0,[0.8323 0.1677],0.41789254961793404,0.31862522231763696
0,[0.9908 0.0092],3.828792301423094e-05,4.0841915779861636e-05
0,[0.985 0.015],9.120818365850901e-05,0.00013388262664948528
0,[0.8573 0.1427],0.022683927420661942,0.015704706116861106
0,[0.0073 0.9927],0.00882819954167443,0.010925624376121258
0,[0.9808 0.0192],7.4289235660353e-05,0.00011661610161776196
0,[0.9977 0.0023],2.1309365391314814e-06,1.7228825151692726e-06
0,[0.9961 0.0039],2.4744384440257656e-05,5.4808767938009604e-05
0,[0.7162 0.2838],0.1639271616556467,0.12201876728149937
0,[0.7485 0.2515],0.3079096743741471,0.11399584122104649
0,[0.9882 0.0118],0.0001925176183681062,0.00038625982858533236
0,[0.8825 0.1175],0.004302936699908445,0.003206393606643073
0,[0.9853 0.0147],1.509420121677268e-05,1.1446240313911271e-05
0,[0.9695 0.0305],0.0001582141531982494,0.00012211320629397084
0,[0.9986 0.0014],1.1957170929760183e-05,2.712723585015777e-05
0,[0.884 0.116],0.0752217187988602,0.07006415399950756
0,[0.9981 0.0019],4.458293835921928e-06,1.8905852750066882e-06
0,[0.9945 0.0055],0.00046109493603148876,0.0011842468764221876
0,[0.9908 0.0092],1.5918115416159874e-05,1.4851763946710083e-05
0,[0.9879 0.0121],0.00010738928555537798,0.00015030418720157166
0,[0.9939 0.0061],8.485605697498333e-06,1.559562643815394e-05
0,[0.9459 0.0541],0.00029430937645993314,0.00043457487229449436
0,[0.9907 0.0093],3.4079746255635625e-05,4.2651118632283e-05
0,[0.9293 0.0707],0.12383411592834388,0.09348902447677772
0,[0.8611 0.1389],0.18972875903905995,0.28198150056499915
0,[0.9966 0.0034],5.436841404264266e-06,8.457483134443104e-06
0,[0.9402 0.0598],0.0009048192094836904,0.0005584868019349574
1,[0.0058 0.9942],9.911509658382441e-06,2.3879214307823454e-05
1,[0.0157 0.9843],0.046423391815024764,0.13041003547640317
1,[0.0558 0.9442],0.00041014973770472246,0.00045123370276668067
1,[0.0035 0.9965],0.001625773736356235,0.0037852754963929214
1,[0.0021 0.9979],1.7041691778296218e-06,1.1765289239786691e-06
1,[5.1116e-04 9.9949e-01],0.0012756931844282256,0.003351384716939007
1,[0.0011 0.9989],9.929750930484279e-07,2.176724961765687e-07
1,[0.0558 0.9442],0.004014538902476638,0.00585456518077661
1,[0.0056 0.9944],8.670338076448431e-05,0.00012047989320127558
1,[0.0951 0.9049],0.0050471514445998055,0.0050243675249232985
1,[0.0586 0.9414],0.014579282783460427,0.015507991818805146
