epoch,train_loss,test_loss,test_accuracy
0,0.6791283729141706,0.5955808635415702,0.7793103448275862
1,0.6171639902542715,0.5495627584128544,0.7862068965517242
2,0.571966924079477,0.5521110419569344,0.7448275862068966
3,0.5255211925465767,0.4612741758083475,0.8137931034482758
4,0.5090921386464001,0.4216246882389332,0.8206896551724138
5,0.5033748842877884,0.4739170752722642,0.7862068965517242
6,0.4608008130772473,0.37030390418809034,0.8620689655172413
7,0.4485827631329837,0.3549252727936054,0.8620689655172413
8,0.43142947197368703,0.3635219695239231,0.8413793103448276
9,0.42901887826315344,0.33691762644669104,0.8620689655172413
10,0.42173645084034905,0.2913242845699705,0.8896551724137931
11,0.3797951638188264,0.34826266560061225,0.8551724137931035
12,0.4014012701299092,0.30250323332589246,0.896551724137931
13,0.38849529103465275,0.3154660288629861,0.8758620689655172
14,0.3678863931396236,0.2801618329409895,0.8896551724137931
15,0.35172680040744886,0.26521737924937544,0.8896551724137931
16,0.34896153277934416,0.3156643643461425,0.8827586206896552
17,0.35041094969396724,0.3139204814516265,0.8344827586206897
18,0.36102943367337526,0.27396870892623376,0.903448275862069
19,0.34486509298216805,0.2875467960176797,0.8620689655172413
20,0.331366609986106,0.2493199860227519,0.9172413793103448
21,0.31467340075194017,0.24685365886523805,0.8896551724137931
22,0.2930474691603282,0.2639442219816405,0.896551724137931
23,0.29296141117811203,0.2938946557456049,0.8620689655172413
24,0.3017592553610671,0.23770741244842267,0.9103448275862069
25,0.2851987922538633,0.270174869175615,0.8620689655172413
26,0.3096902956293054,0.3237826659761626,0.8551724137931035
27,0.30571406666342527,0.23833612429684606,0.9103448275862069
28,0.28385498808467224,0.2637188609304099,0.8758620689655172
29,0.2791179947248877,0.2286899382698125,0.9103448275862069
30,0.2554929121206068,0.2612093306820968,0.8896551724137931
31,0.26804125872887163,0.25458988187641934,0.8827586206896552
32,0.2631668388486317,0.2242284776835606,0.9103448275862069
33,0.27177867941456296,0.29020401013308555,0.8827586206896552
34,0.25204762173433826,0.2292517022839908,0.9103448275862069
35,0.26628485870585866,0.2590950182799635,0.8896551724137931
36,0.25685042061217844,0.2662578451222387,0.896551724137931
37,0.24230907336898047,0.22656214956579537,0.903448275862069
38,0.25720435717742735,0.19536195798166867,0.9172413793103448
39,0.24774880508241587,0.26166109329667586,0.8689655172413793
40,0.25694939861558885,0.24148650107712583,0.8896551724137931
41,0.24221922742993865,0.19382394079504342,0.9379310344827586
42,0.24467059724951443,0.18946091214130664,0.9172413793103448
43,0.26519215372327254,0.22768843430897284,0.903448275862069
44,0.23753660468206014,0.2102532638558026,0.9172413793103448
45,0.23728757617000032,0.22203996880301113,0.9241379310344827
46,0.2182439049221065,0.23028990061118684,0.9103448275862069
47,0.21194663383576967,0.2102964823615962,0.9241379310344827
48,0.22612535172741707,0.22663612355445995,0.9172413793103448
49,0.21343005790489994,0.20698209312455407,0.903448275862069
50,0.24070622011610907,0.20520385688748852,0.9172413793103448
51,0.24121355714455042,0.20037196422445364,0.9241379310344827
52,0.24772860313931558,0.1860856532022871,0.9103448275862069
53,0.21872020390343994,0.19407615476641163,0.9172413793103448
