target,softmax prob,classification error %,predictive entropy
0,[0.9857 0.0143],0.0,0.03678047306195439
0,[0.9799 0.0201],0.0,0.07910128123012873
0,[0.5211 0.4789],0.54,0.5129134906966025
0,[0.9979 0.0021],0.0,0.015561735956092152
0,[0.8549 0.1451],0.014444444444444444,0.25422754922348023
0,[0.8946 0.1054],0.016666666666666666,0.22081220157192222
0,[0.9594 0.0406],0.0,0.054732419868894475
0,[0.9413 0.0587],0.005555555555555556,0.16370757662955646
0,[0.6815 0.3185],0.05444444444444444,0.20385013315877004
0,[0.9986 0.0014],0.0,0.009689432009851496
0,[0.9458 0.0542],0.0,0.10731629272730692
0,[0.9679 0.0321],0.0,0.09113686361365302
0,[0.9625 0.0375],0.0,0.07443049578112898
0,[0.9681 0.0319],0.0,0.0711021639091016
0,[0.9841 0.0159],0.0,0.04376887521614999
0,[0.9937 0.0063],0.0,0.023747179012341156
0,[0.8771 0.1229],0.0011111111111111111,0.19054336250922468
0,[0.9796 0.0204],0.0,0.03469234839373252
0,[0.975 0.025],0.0,0.0795009151661555
0,[0.9922 0.0078],0.0,0.024974073684078314
0,[0.9861 0.0139],0.0,0.034241380323652114
0,[0.8383 0.1617],0.012222222222222223,0.22134349897610014
0,[0.825 0.175],0.027777777777777776,0.33556921619965174
0,[0.9923 0.0077],0.0,0.035627281017798704
0,[0.9829 0.0171],0.0,0.0468552274984134
0,[0.9381 0.0619],0.0022222222222222222,0.14365889258570677
0,[0.0025 0.9975],1.0,0.11293706196955226
0,[0.9575 0.0425],0.0,0.08750402033489951
0,[0.9958 0.0042],0.0,0.017297110771249805
0,[0.9957 0.0043],0.0,0.020450270251686654
0,[0.8036 0.1964],0.08333333333333333,0.3698446490881747
0,[0.8536 0.1464],0.24888888888888888,0.41614409852695144
0,[0.9757 0.0243],0.0,0.058574781012061594
0,[0.8443 0.1557],0.0,0.19397751208165323
0,[0.9751 0.0249],0.0,0.052835322242889546
0,[0.9334 0.0666],0.0,0.11819165865027934
0,[0.9984 0.0016],0.0,0.020830850391058073
0,[0.7811 0.2189],0.06222222222222222,0.3381807082595094
0,[0.9961 0.0039],0.0,0.024141812015348308
0,[0.9325 0.0675],0.0,0.08848730964337626
0,[0.9745 0.0255],0.0,0.0494312857577355
0,[0.962 0.038],0.0022222222222222222,0.04538155653329055
0,[0.9861 0.0139],0.0,0.036250371474645736
0,[0.9672 0.0328],0.0,0.08105554158971418
0,[0.983 0.017],0.0,0.04210090685121488
0,[0.858 0.142],0.021111111111111112,0.2842226349016669
0,[0.8105 0.1895],0.11,0.35985230658822603
0,[0.994 0.006],0.0,0.023244003458808213
0,[0.9411 0.0589],0.0,0.11408091858044081
1,[0.0052 0.9948],0.0,0.013819690095141265
1,[0.0224 0.9776],0.0,0.023637851790970804
1,[0.0309 0.9691],0.0,0.05608820210130871
1,[0.001 0.999],0.0,0.02740440351908338
1,[0.0041 0.9959],0.0,0.01892689630046445
1,[6.3064e-04 9.9937e-01],0.0,0.013304806285205053
1,[0.0018 0.9982],0.0,0.012364323189805165
1,[0.0178 0.9822],0.0,0.04070863742452853
1,[0.0062 0.9938],0.0,0.026460385374039583
1,[0.0628 0.9372],0.0033333333333333335,0.09284647865238611
1,[0.1171 0.8829],0.006666666666666667,0.1273743175788816
1,[0.6535 0.3465],0.5811111111111111,0.5134702415331082
1,[0.0299 0.9701],0.006666666666666667,0.07438406046539602
1,[0.0143 0.9857],0.025555555555555557,0.16368510064687183
1,[0.0067 0.9933],0.0,0.029057033181344664
1,[0.0092 0.9908],0.0011111111111111111,0.028967244801449677
1,[0.0054 0.9946],0.0011111111111111111,0.03254880231627011
1,[0.0249 0.9751],0.0022222222222222222,0.099996603617429
1,[0.0066 0.9934],0.0,0.020505105845022693
1,[1.2681e-04 9.9987e-01],0.0,0.009742641829691097
1,[0.025 0.975],0.0,0.05379467909060717
1,[0.1017 0.8983],0.04,0.23657185328156705
1,[0.0432 0.9568],0.0,0.08939222323318012
1,[0.019 0.981],0.0,0.053389917921801554
1,[0.0015 0.9985],0.0,0.016107928670172154
1,[0.7306 0.2694],0.36333333333333334,0.46267219890005024
1,[0.0061 0.9939],0.0,0.01733185395395301
1,[0.0241 0.9759],0.0011111111111111111,0.05713194331156374
1,[0.005 0.995],0.0,0.01723339926079189
1,[0.8839 0.1161],0.5933333333333334,0.521175365261401
1,[0.3315 0.6685],0.09666666666666666,0.25219484327727
1,[0.004 0.996],0.0,0.032798107292069265
1,[0.0038 0.9962],0.0011111111111111111,0.03990493831198635
1,[0.0388 0.9612],0.0,0.06778835382215645
1,[0.0048 0.9952],0.0,0.03858637420011039
1,[7.0266e-05 9.9993e-01],0.0,0.0034865055252789193
1,[0.0122 0.9878],0.0,0.02476295423122854
1,[0.0238 0.9762],0.0,0.03657797155225019
1,[0.0344 0.9656],0.0,0.05089399282886584
1,[0.037 0.963],0.0044444444444444444,0.0965353345307425
1,[0.0678 0.9322],0.0,0.08991886635686909
1,[0.001 0.999],0.0,0.0064427885379478
1,[0.0041 0.9959],0.0022222222222222222,0.05001255487090475
1,[0.0014 0.9986],0.0,0.026463846524888198
1,[0.0029 0.9971],0.0,0.012840522995827382
1,[0.0027 0.9973],0.0,0.01368419463855057
1,[0.014 0.986],0.0,0.03979348549254049
1,[0.1229 0.8771],0.04888888888888889,0.2584619770660362
1,[0.0125 0.9875],0.0,0.03757284013014207
1,[0.0027 0.9973],0.0,0.01878884260194217
1,[0.0449 0.9551],0.0,0.08613283490631737
1,[0.004 0.996],0.0,0.018799110503644464
1,[7.8687e-05 9.9992e-01],0.0,0.0037925466370675974
1,[0.0154 0.9846],0.0,0.027757260861304388
1,[0.5978 0.4022],0.5377777777777778,0.5083622708111573
